word1,word2,pos
counterrevolutionary,revolutionary,a
couple,uncouple,v
courage,cowardice,n
courteous,discourteous,a
courteously,discourteously,r
courtesy,discourtesy,n
cousinly,uncousinly,a
cover,uncover,v
covered,bare,a
covert,overt,a
covertly,overtly,r
cowardice,courage,n
cowardly,brave,a
crannied,uncrannied,a
crate,uncrate,v
creative,uncreative,a
creativeness,uncreativeness,n
credibility,incredibility,n
credible,incredible,a
credibly,incredibly,r
credit,cash,n
credit,debit,n
credit,debit,v
creditor,debtor,n
credulous,incredulous,a
credulously,incredulously,r
crescendo,decrescendo,v
criminalisation,decriminalisation,n
criminalise,decriminalise,v
criminalization,decriminalization,n
criminalize,decriminalize,v
critical,noncritical,a
critical,uncritical,a
critically,uncritically,r
criticize,praise,v
crooked,straight,a
crookedness,straightness,n
cross,uncross,v
cross-eyed,walleyed,a
cross-fertilization,self-fertilization,n
cross-pollination,self-pollination,n
crossbred,purebred,a
crossed,uncrossed,a
crosswise,lengthwise,a
crowded,uncrowded,a
crowned,uncrowned,a
crucial,noncrucial,a
cry,laugh,v
crystalline,noncrystalline,a
crystallized,uncrystallized,a
cubic,linear,a
cubic,planar,a
cultivated,uncultivated,a
cultivated_plant,weed,n
curability,incurability,n
curable,incurable,a
curableness,incurableness,n
curdle,homogenise,v
curdle,homogenize,v
curious,incurious,a
curliness,straightness,n
curly,straight,a
current,noncurrent,a
curse,bless,v
cursed,blessed,a
cursorial,fossorial,a
curtained,curtainless,a
curtainless,curtained,a
curve,straight_line,n
curved,straight,a
custom-made,ready-made,a
custom-made,ready-made,n
cut,uncut,a
cyclic,acyclic,a
cyclic,noncyclic,a
cyclone,anticyclone,n
dabbling_duck,diving_duck,n
damaged,undamaged,a
danger,safety,n
dangerous,safe,a
dangerousness,safeness,n
dark,light,a
dark,light,n
darken,brighten,v
darken,lighten,v
darkness,lightness,n
datable,undatable,a
daughter,son,n
day,night,n
day_game,night_game,n
day_school,boarding_school,n
day_school,night_school,n
de-energise,energise,v
de-energize,energize,v
de-escalate,escalate,v
de-iodinate,iodinate,v
de-iodinating,iodinating,a
de-ionate,ionate,v
de_facto,de_jure,a
de_jure,de_facto,a
deactivation,activation,n
dead,alive,a
dead,live,a
dead,living,n
deaden,enliven,v
deaf,hearing,a
death,birth,n
debilitating,invigorating,a
debit,credit,n
debit,credit,v
debtor,creditor,n
decalcify,calcify,v
deceive,undeceive,v
decelerate,accelerate,v
deceleration,acceleration,n
decency,indecency,n
decent,indecent,a
decently,indecently,r
decentralise,centralise,v
decentralization,centralization,n
decentralize,centralize,v
decentralized,centralized,a
decentralizing,centralizing,a
decertify,certify,v
deciduous,evergreen,a
deciduous_plant,evergreen_plant,n
deciphered,undeciphered,a
decision,indecision,n
decisive,indecisive,a
decisively,indecisively,r
decisiveness,indecisiveness,n
declarative,interrogative,a
declaratory,interrogatory,a
declared,undeclared,a
declassification,classification,n
declassify,classify,v
decline,improvement,n
decode,encode,v
decolonise,colonise,v
decolonize,colonize,v
decompress,compress,v
decompression,compression,n
deconcentrate,concentrate,v
decontaminate,contaminate,v
decontamination,contamination,n
decorous,indecorous,a
decorously,indecorously,r
decorousness,indecorousness,n
decorum,indecorum,n
decrease,increase,n
decrease,increase,v
decreased,increased,a
decreasing,increasing,a
decrement,increment,n
decrescendo,crescendo,v
decriminalisation,criminalisation,n
decriminalise,criminalise,v
decriminalization,criminalization,n
decriminalize,criminalize,v
dedicated,undedicated,a
dedicated_file_server,non-dedicated_file_server,n
dedifferentiate,differentiate,v
deductible,nondeductible,a
deductive,inductive,a
deep,shallow,a
deepness,shallowness,n
default,pay_up,v
defeasible,indefeasible,a
defeat,victory,n
defeated,undefeated,a
defence,offence,n
defend,attack,v
defend,prosecute,v
defendant,plaintiff,n
defense,offense,n
defense,prosecution,n
defensive,offensive,a
defensively,offensively,r
defiant,compliant,a
deficit,lead,n
defined,undefined,a
definite,indefinite,a
deflate,inflate,v
deflation,inflation,n
deflationary,inflationary,a
deflationary_spiral,inflationary_spiral,n
defuse,fuse,v
defy,lend_oneself,v
deglycerolize,glycerolize,v
degrade,aggrade,v
dehiscent,indehiscent,a
dehumanize,humanize,v
dehumidify,humidify,v
dehydrate,hydrate,v
dehydrogenate,hydrogenate,v
dejected,elated,a
delay,rush,v
deliberately,accidentally,r
delicate,rugged,a
delineated,undelineated,a
demagnetise,magnetise,v
demagnetize,magnetize,v
demand,supply,n
demanding,undemanding,a
dematerialise,materialise,v
dematerialize,materialize,v
demerit,merit,n
demilitarise,militarise,v
demilitarize,militarize,v
demobilise,mobilise,v
demobilization,mobilization,n
demobilize,mobilize,v
democratic,undemocratic,a
democratically,undemocratically,r
demonetization,monetization,n
demonstrative,undemonstrative,a
demote,promote,v
demotion,promotion,n
demulsify,emulsify,v
demystify,mystify,v
demythologize,mythologize,v
denationalise,nationalise,v
denationalization,nationalization,n
denationalize,nationalize,v
denaturalize,naturalize,v
denazify,nazify,v
deniable,undeniable,a
denitrify,nitrify,v
denotative,connotative,a
deny,admit,v
deny,allow,v
deodorize,odorize,v
deodourise,odourise,v
deoxidise,oxidise,v
deoxidize,oxidize,v
depart,stay,v
dependability,undependability,n
dependable,undependable,a
dependableness,undependableness,n
dependably,undependably,r
dependent,independent,a
depersonalise,personalise,v
depersonalize,personalize,v
depigmentation,pigmentation,n
deposit,withdraw,v
depreciate,appreciate,v
depreciation,appreciation,n
depress,elate,v
depressant,stimulative,a
depressing,cheerful,a
depression,elation,n
depressurise,pressurise,v
depressurize,pressurize,v
deprive,enrich,v
deregulate,regulate,v
derequisition,requisition,v
derestrict,restrict,v
derivational,inflectional,a
derived,underived,a
desalinate,salinate,v
descend,ascend,v
descendant,ancestor,n
descending,ascending,a
descending_node,ascending_node,n
descent,ascent,n
descriptive,prescriptive,a
descriptive,undescriptive,a
descriptive_linguistics,prescriptive_linguistics,n
desecrate,consecrate,v
desecrated,consecrated,a
desegregate,segregate,v
desensitise,sensitise,v
desensitize,sensitize,v
desensitizing,sensitizing,a
deservedly,undeservedly,r
designed,undesigned,a
desirability,undesirability,n
desirable,undesirable,a
desirous,undesirous,a
despair,hope,n
despair,hope,v
destabilisation,stabilisation,n
destabilise,stabilise,v
destabilise,stabilize,v
destabilization,stabilization,n
destabilize,stabilize,v
destalinize,stalinize,v
destroyed,preserved,a
destructibility,indestructibility,n
destructible,indestructible,a
destructive,constructive,a
destructiveness,constructiveness,n
desynchronise,synchronise,v
desynchronization,synchronization,n
desynchronize,synchronize,v
desynchronizing,synchronizing,n
detach,attach,v
detachable,attachable,a
detached,attached,a
detected,undetected,a
deteriorate,recuperate,v
determinable,indeterminable,a
determinate,indeterminate,a
determined,undetermined,a
dethrone,enthrone,v
detransitivize,transitivize,v
detribalisation,tribalisation,n
detribalization,tribalization,n
developed,undeveloped,a
development,nondevelopment,n
deviate,conform,v
devitalize,vitalize,v
devoice,voice,v
devolution,evolution,n
dextral,sinistral,a
dextrorotation,levorotation,n
diabatic,adiabatic,a
diachronic,synchronic,a
diadromous,anadromous,a
diadromous,catadromous,a
diapsid,anapsid,n
diatonic,chromatic,a
diclinous,monoclinous,a
dicotyledonous,monocotyledonous,a
die,be_born,v
differ,equal,v
difference,sameness,n
different,same,a
differentiate,dedifferentiate,v
differentiate,integrate,v
differentiated,undifferentiated,a
difficult,easy,a
difficulty,ease,n
diffidence,confidence,n
diffident,confident,a
digestibility,indigestibility,n
digestible,indigestible,a
digital,analogue,a
digitigrade,plantigrade,a
digitigrade_mammal,plantigrade_mammal,n
dignified,undignified,a
diligent,negligent,a
diluted,undiluted,a
dilution,concentration,n
diminution,augmentation,n
dimmed,undimmed,a
dioecious,monoecious,a
diploid,haploid,a
diploid,polyploid,a
diplomatic,undiplomatic,a
diplomatically,undiplomatically,r
direct,alternating,a
direct,indirect,a
direct,inverse,a
direct,retrograde,a
direct_current,alternating_current,n
direct_discourse,indirect_discourse,n
direct_evidence,circumstantial_evidence,n
directional,omnidirectional,a
directly,indirectly,r
directness,indirectness,n
dirtiness,cleanness,n
dirty,clean,a
dirty,clean,v
disable,enable,v
disabling,enabling,a
disadvantage,advantage,n
disadvantage,advantage,v
disadvantageous,advantageous,a
disadvantageously,advantageously,r
disagree,agree,v
disagreeable,agreeable,a
disagreeableness,agreeableness,n
disagreeably,agreeably,r
disagreement,agreement,n
disallow,allow,v
disappear,appear,v
disappearance,appearance,n
disapprobation,approbation,n
disapproval,approval,n
disapprove,approve,v
disapprovingly,approvingly,r
disarm,arm,v
disarmament,armament,n
disarming,arming,n
disarrange,arrange,v
disarranged,arranged,a
disassemble,assemble,v
disassembly,assembly,n
disassociation,association,n
disassortative_mating,assortative_mating,n
disavow,avow,v
disbelieve,believe,v
discalced,calced,a
discernible,indiscernible,a
discerning,undiscerning,a
discharge,charge,v
discharge,enlist,v
discipline,indiscipline,n
disclaim,claim,v
discolor,color,v
discomfort,comfort,n
discomposed,composed,a
discomposure,composure,n
disconnect,connect,v
disconnectedness,connectedness,n
discontent,content,v
discontented,contented,a
discontentment,contentment,n
discontinuance,continuance,n
discontinuation,continuation,n
discontinue,continue,v
discontinued,continued,a
discontinuity,continuity,n
discontinuous,continuous,a
discordant,accordant,a
discourage,encourage,v
discouragement,encouragement,n
discouraging,encouraging,a
discouragingly,encouragingly,r
discourteous,courteous,a
discourteously,courteously,r
discourtesy,courtesy,n
discreet,indiscreet,a
discreetly,indiscreetly,r
discriminate,indiscriminate,a
discriminating,undiscriminating,a
disembark,embark,v
disembarkation,embarkation,n
disembarrassment,embarrassment,n
disenchant,enchant,v
disenchanted,enchanted,a
disenfranchise,enfranchise,v
disenfranchised,enfranchised,a
disenfranchisement,enfranchisement,n
disengage,engage,v
disentangle,entangle,v
disequilibrium,equilibrium,n
disesteem,esteem,n
disesteem,esteem,v
disfluency,fluency,n
dishearten,hearten,v
dishonest,honest,a
dishonestly,honestly,r
dishonesty,honesty,n
dishonor,honor,n
dishonor,honor,v
dishonorable,honorable,a
dishonorableness,honorableness,n
dishonorably,honorably,r
disincarnate,incarnate,v
disincentive,incentive,n
disinclination,inclination,n
disinclined,inclined,a
disinfect,infect,v
disinflation,inflation,n
disingenuous,ingenuous,a
disingenuousness,ingenuousness,n
disinherit,bequeath,v
disintegrate,integrate,v
disintegrative,integrative,a
disjoin,join,v
disjunct,conjunct,a
disjunctive,conjunctive,a
dislike,like,v
dislike,liking,n
disliked,liked,a
dislodge,lodge,v
disloyal,loyal,a
disloyally,loyally,r
disloyalty,loyalty,n
disobedience,obedience,n
disobedient,obedient,a
disobediently,obediently,r
disobey,obey,v
disoblige,oblige,v
disorder,order,n
disorder,order,v
disordered,ordered,a
disorderliness,orderliness,n
disorderly,orderly,a
disorganise,organise,v
disorganize,organize,v
disorganized,organized,a
disorient,orient,v
disorienting,orienting,a
disparage,flatter,v
dispensability,indispensability,n
dispensable,indispensable,a
dispensableness,indispensableness,n
displease,please,v
displeased,pleased,a
displeasing,pleasing,a
disposable,nondisposable,a
dispose,indispose,v
disproportion,proportion,n
disproportionate,proportionate,a
disproportionately,proportionately,r
disprove,prove,v
disqualify,qualify,v
disreputability,reputability,n
disreputable,reputable,a
disreputably,reputably,r
disrepute,repute,n
disrespect,respect,n
disrespect,respect,v
disrespectful,respectful,a
disrespectfully,respectfully,r
dissatisfaction,satisfaction,n
dissatisfy,satisfy,v
dissent,assent,v
disservice,service,n
dissimilar,similar,a
dissimilarity,similarity,n
dissimilate,assimilate,v
dissimilitude,similitude,n
dissociate,associate,v
dissonance,harmony,n
dissuade,persuade,v
dissuasion,persuasion,n
dissuasive,persuasive,a
distal,mesial,a
distal,proximal,a
distant,close,a
distinct,indistinct,a
distinctness,indistinctness,n
distinguishable,indistinguishable,a
distributary,tributary,n
distributed,concentrated,a
distribution,concentration,n
distributive,collective,a
distrust,trust,n
distrust,trust,v
distrustful,trustful,a
distrustfully,trustfully,r
disunify,unify,v
disunion,union,n
diurnal,nocturnal,a
diverge,converge,v
divergence,convergence,n
divergency,convergency,n
divergent,convergent,a
divergent_thinking,convergent_thinking,n
diversified,undiversified,a
diversify,specialise,v
diversify,specialize,v
divest,invest,v
divide,multiply,v
divide,unite,v
divided,united,a
diving_duck,dabbling_duck,n
divisible,indivisible,a
docile,stubborn,a
dock,undock,v
doctrine_of_analogy,apophatism,n
documented,undocumented,a
dolichocephalic,brachycephalic,a
domestic,foreign,a
domestic,undomestic,a
domestic_flight,international_flight,n
dominant,recessive,a
dominant,subordinate,a
domineering,submissive,a
dormant,active,a
dorsal,ventral,a
double,single,a
double-barreled,single-barreled,a
double-breasted,single-breasted,a
dove,hawk,n
dovishness,hawkishness,n
down,up,a
down,up,r
downgrade,upgrade,v
download,upload,v
downmarket,upmarket,a
downriver,upriver,r
downstage,upstage,a
downstage,upstage,r
downstairs,upstairs,a
downstairs,upstairs,r
downstream,upstream,a
downstream,upstream,r
downtick,uptick,n
downtime,uptime,n
downtown,uptown,a
downtown,uptown,r
downward,upward,r
downwardly,upwardly,r
downwards,upwards,r
downwind,upwind,r
draftee,volunteer,n
drained,undrained,a
dramatic,lyric,a
dramatic,undramatic,a
dramatically,undramatically,r
dress,undress,v
dress_down,dress_up,v
dress_up,dress_down,v
drinkable,undrinkable,a
drinker,nondrinker,n
driver,nondriver,n
drop_out,enter,v
drunkenness,soberness,n
dry,phlegmy,a
dry,sweet,a
dry,wet,a
dry,wet,v
dry-bulb_thermometer,wet-bulb_thermometer,n
dry_fly,wet_fly,n
dry_season,rainy_season,n
dryness,wetness,n
due,undue,a
dull,bright,a
dull,lively,a
dull,sharp,a
dull,sharpen,v
dullness,brightness,n
dullness,sharpness,n
dumb_bomb,smart_bomb,n
dying,nascent,a
dynamic,undynamic,a
dysgenic,eugenic,a
dysgenics,eugenics,n
dysphemism,euphemism,n
dysphemistic,euphemistic,a
dysphoria,euphoria,n
dysphoric,euphoric,a
dystopia,utopia,n
dystopian,utopian,a
e-mail,snail_mail,n
eager,uneager,a
eared,earless,a
earless,eared,a
earliness,lateness,n
early,late,a
early,late,r
early,middle,a
earned,unearned,a
earned_run,unearned_run,n
earthly,heavenly,a
ease,difficulty,n
east,west,a
easterly,westerly,r
eastern,western,a
easy,difficult,a
easy,uneasy,a
easy_money,tight_money,n
eat_in,eat_out,v
eat_out,eat_in,v
eating_apple,cooking_apple,n
ebb,tide,v
ebbtide,flood_tide,n
ebracteate,bracteate,a
eccentric,concentric,a
eccentricity,concentricity,n
eccrine,apocrine,a
ecdemic,endemic,a
echoic,nonechoic,a
ectomorphic,endomorphic,a
ectomorphic,mesomorphic,a
edible,inedible,a
edifying,unedifying,a
educated,uneducated,a
effective,ineffective,a
effectively,ineffectively,r
effectiveness,ineffectiveness,n
effector,receptor,n
effectually,ineffectually,r
efferent,afferent,a
effervescent,noneffervescent,a
efficacious,inefficacious,a
efficaciously,inefficaciously,r
efficacy,inefficacy,n
efficiency,inefficiency,n
efficient,inefficient,a
efficiently,inefficiently,r
efflux,influx,n
effortful,effortless,a
effortfulness,effortlessness,n
effortless,effortful,a
effortlessness,effortfulness,n
egalitarian,elitist,n
egoism,altruism,n
egoistic,altruistic,a
egress,ingress,n
elastic,inelastic,a
elasticity,inelasticity,n
elate,depress,v
elated,dejected,a
elation,depression,n
elective,appointive,a
electrolytic_cell,voltaic_cell,n
electronic_mail,snail_mail,n
elegance,inelegance,n
elegant,inelegant,a
elegantly,inelegantly,r
eligibility,ineligibility,n
eligible,ineligible,a
elitist,egalitarian,n
eloquently,ineloquently,r
email,snail_mail,n
embark,disembark,v
embarkation,disembarkation,n
embarrassment,disembarrassment,n
emersion,immersion,n
emigrate,immigrate,v
emit,absorb,v
emmetropic,ametropic,a
emotional,cerebral,a
emotional,unemotional,a
emotional_person,unemotional_person,n
emotionality,unemotionality,n
emotionally,unemotionally,r
empirical,theoretical,a
empirically,theoretically,r
employable,unemployable,a
employed,unemployed,a
employee,employer,n
employer,employee,n
employment,unemployment,n
emptiness,fullness,n
empty,fill,v
empty,full,a
emulsify,demulsify,v
enable,disable,v
enabling,disabling,a
enchant,disenchant,v
enchanted,disenchanted,a
enclosed,unenclosed,a
encode,decode,v
encourage,discourage,v
encouragement,discouragement,n
encouraging,discouraging,a
encouragingly,discouragingly,r
encumbered,unencumbered,a
end,begin,v
end,beginning,n
end,middle,n
end-stopped,run-on,a
endemic,cosmopolitan,a
endemic,ecdemic,a
endemic,epidemic,a
endergonic,exergonic,a
ending,beginning,n
endocentric,exocentric,a
endocrine,exocrine,a
endoergic,exoergic,a
endogamous,autogamous,a
endogamous,exogamous,a
endogamy,exogamy,n
endogenic,exogenic,a
endogenous,exogenous,a
endomorphic,ectomorphic,a
endomorphic,mesomorphic,a
endothermic,exothermic,a
endotoxin,exotoxin,n
endowed,unendowed,a
energetic,lethargic,a
energise,de-energise,v
energize,de-energize,v
enforce,exempt,v
enforceable,unenforceable,a
enforced,unenforced,a
enfranchise,disenfranchise,v
enfranchised,disenfranchised,a
enfranchisement,disenfranchisement,n
engage,disengage,v
engagement,non-engagement,n
enjoy,suffer,v
enlightened,unenlightened,a
enlightening,unenlightening,a
enlightenment,unenlightenment,n
enlist,discharge,v
enliven,deaden,v
enlivened,unenlivened,a
enrich,deprive,v
enrich,impoverish,v
entangle,disentangle,v
enter,drop_out,v
enter,exit,v
enterprising,unenterprising,a
enthrone,dethrone,v
enthusiastic,unenthusiastic,a
enthusiastically,unenthusiastically,r
entomophilous,anemophilous,a
entozoic,epizoic,a
environmentalism,hereditarianism,n
epidemic,endemic,a
epizoic,entozoic,a
equal,differ,v
equal,unequal,a
equality,inequality,n
equally,unequally,r
equatorial,polar,a
equilibrium,disequilibrium,n
equipped,unequipped,a
equitable,inequitable,a
equitably,inequitably,r
equity,inequity,n
equivalence,nonequivalence,n
equivocal,unequivocal,a
equivocalness,unequivocalness,n
eradicable,ineradicable,a
erase,record,v
erect,unerect,a
eremite,cenobite,n
eremitic,cenobitic,a
errancy,inerrancy,n
escalate,de-escalate,v
esoteric,exoteric,a
essential,inessential,a
essential,inessential,n
essentiality,inessentiality,n
establish,abolish,v
established,unestablished,a
esteem,disesteem,n
esteem,disesteem,v
estimable,contemptible,a
estivate,hibernate,v
estrous,anestrous,a
estrus,anestrus,n
ethical,unethical,a
ethically,unethically,r
eucaryotic,procaryotic,a
eudemon,cacodemon,n
eugenic,dysgenic,a
eugenics,dysgenics,n
eukaryote,prokaryote,n
eukaryotic,prokaryotic,a
euphemism,dysphemism,n
euphemistic,dysphemistic,a
euphonious,cacophonous,a
euphoria,dysphoria,n
euphoric,dysphoric,a
eusporangiate,leptosporangiate,a
even,odd,a
even,uneven,a
even-toed_ungulate,odd-toed_ungulate,n
evenly,unevenly,r
evenness,unevenness,n
eventful,uneventful,a
ever,never,r
evergreen,deciduous,a
evergreen_plant,deciduous_plant,n
evil,good,a
evil,good,n
evilness,goodness,n
evitable,inevitable,a
evolution,devolution,n
exact,inexact,a
exactly,inexactly,r
exactness,inexactness,n
exaugural,inaugural,a
exchangeability,unexchangeability,n
exchangeable,unexchangeable,a
excitable,unexcitable,a
excited,unexcited,a
exciting,unexciting,a
excitingly,unexcitingly,r
exclude,admit,v
exclude,include,v
exclusion,inclusion,n
exclusive,inclusive,a
excommunicate,communicate,v
exculpatory,inculpatory,a
excusable,inexcusable,a
excusably,inexcusably,r
exempt,enforce,v
exempt,nonexempt,a
exergonic,endergonic,a
exhale,inhale,v
exhausted,unexhausted,a
exhaustible,inexhaustible,a
existence,nonexistence,n
existent,nonexistent,a
exit,enter,v
exocentric,endocentric,a
exocrine,endocrine,a
exoergic,endoergic,a
exogamous,autogamous,a
exogamous,endogamous,a
exogamy,endogamy,n
exogenic,endogenic,a
exogenous,endogenous,a
exon,intron,n
exoteric,esoteric,a
exothermic,endothermic,a
exotoxin,endotoxin,n
expand,contract,v
expanded,contracted,a
expansion,contraction,n
expansive,unexpansive,a
expatriate,repatriate,v
expected,unexpected,a
expectedness,unexpectedness,n
expedience,inexpedience,n
expediency,inexpediency,n
expedient,inexpedient,a
expediently,inexpediently,r
expendable,unexpendable,a
expensive,cheap,a
expensively,cheaply,r
expensiveness,inexpensiveness,n
experience,inexperience,n
experienced,inexperienced,a
expert_witness,lay_witness,n
expertly,amateurishly,r
expired,unexpired,a
explicable,inexplicable,a
explicit,implicit,a
explicitly,implicitly,r
explicitness,inexplicitness,n
explode,implode,v
exploited,unexploited,a
exploratory,nonexploratory,a
explosive,nonexplosive,a
export,import,n
export,import,v
exportable,unexportable,a
express,local,n
expressible,inexpressible,a
expressively,inexpressively,r
extant,extinct,a
extended,unextended,a
extensile,nonextensile,a
extension,flexion,n
extensive,intensive,a
extensor,flexor,n
exterior,interior,a
external,internal,a
externally,internally,r
extinct,active,a
extinct,extant,a
extinguish,ignite,v
extinguishable,inextinguishable,a
extracellular,intracellular,a
extramural,intramural,a
extraordinariness,ordinariness,n
extraordinary,ordinary,a
extrasensory,sensory,a
extraterritorial,territorial,a
extraversion,ambiversion,n
extraversion,introversion,n
extricable,inextricable,a
extrinsic,intrinsic,a
extrospective,introspective,a
extroversive,ambiversive,a
extroversive,introversive,a
extrovert,introvert,n
extrusive,intrusive,a
eyed,eyeless,a
eyeless,eyed,a
faced,faceless,a
faceless,faced,a
faceted,unfaceted,a
factory-made,homemade,a
factuality,counterfactuality,n
facultative,obligate,a
fail,manage,v
fail,pass,v
fail,succeed,v
failing,passing,n
failure,success,n
faintheartedness,stoutheartedness,n
fair,foul,a
fair,unfair,a
fair_ball,foul_ball,n
fairly,unfairly,r
fairness,unfairness,n
faithful,unfaithful,a
faithfully,unfaithfully,r
faithfulness,unfaithfulness,n
fall,rise,n
fall,rise,v
fall_asleep,wake_up,v
fall_back,gain,v
fall_short_of,satisfy,v
fallibility,infallibility,n
fallible,infallible,a
falling,rising,a
false,true,a
falsehood,truth,n
falsify,correct,v
falsity,truth,n
fame,infamy,n
familiar,strange,a
familiar,unfamiliar,a
familiarity,unfamiliarity,n
fancy,plain,a
far,near,a
farness,nearness,n
farsighted,nearsighted,a
fashionable,unfashionable,a
fashionably,unfashionably,r
fast,slow,a
fast_lane,slow_lane,n
fast_reactor,thermal_reactor,n
fasten,unfasten,v
fastened,unfastened,a
fastidious,unfastidious,a
fat,thin,a
fat_person,thin_person,n
fatal,nonfatal,a
father,mother,n
fathomable,unfathomable,a
fatness,leanness,n
fatty,nonfat,a
fauna,flora,n
favorable,unfavorable,a
favorableness,unfavorableness,n
favorably,unfavorably,r
fear,fearlessness,n
fearfully,fearlessly,r
fearfulness,fearlessness,n
fearlessly,fearfully,r
fearlessness,fear,n
fearlessness,fearfulness,n
feasibility,infeasibility,n
feathered,unfeathered,a
febrile,afebrile,a
federal,unitary,a
feed,starve,v
feelingly,unfeelingly,r
felicitous,infelicitous,a
felicitously,infelicitously,r
felicity,infelicity,n
female,androgynous,a
female,male,a
female,male,n
female_aristocrat,male_aristocrat,n
female_child,male_child,n
female_monarch,male_monarch,n
female_offspring,male_offspring,n
female_parent,male_parent,n
female_sibling,male_sibling,n
femaleness,maleness,n
feminine,masculine,a
feminine,neuter,a
femininity,masculinity,n
ferned,fernless,a
fernless,ferned,a
fertile,sterile,a
fertility,infertility,n
few,many,a
fewer,more,a
fewest,most,a
fictional,nonfictional,a
fidelity,infidelity,n
figurative,literal,a
figuratively,literally,r
figure,ground,n
file_in,file_out,v
file_out,file_in,v
filial,parental,a
fill,empty,v
filled,unfilled,a
financial,nonfinancial,a
find,lose,v
fine,coarse,a
finely,coarsely,r
fingered,fingerless,a
fingerless,fingered,a
finish,start,n
finished,unfinished,a
finite,infinite,a
finitely,infinitely,r
finiteness,infiniteness,n
fire,hire,v
first,last,a
first,second,a
fissile,nonfissile,a
fissionable,nonfissionable,a
fit,unfit,a
fitness,unfitness,n
fixed,unfixed,a
fixed-width_font,proportional_font,n
fixedness,looseness,n
flash-forward,flashback,n
flashback,flash-forward,n
flat,contrasty,a
flat,natural,a
flat,sharp,a
flatten,sharpen,v
flatter,disparage,v
flattering,unflattering,a
fledged,unfledged,a
flexibility,inflexibility,n
flexible,inflexible,a
flexibly,inflexibly,r
flexion,extension,n
flexor,extensor,n
float,sink,v
flood_tide,ebbtide,n
floored,ceilinged,a
flora,fauna,n
flowering,flowerless,a
flowerless,flowering,a
fluency,disfluency,n
focus,blur,v
focused,unfocused,a
foe,friend,n
fold,unfold,v
follow,precede,v
follower,leader,n
following,leading,a
folly,wisdom,n
foolish,wise,a
foolishly,wisely,r
foot,head,n
footed,footless,a
footless,footed,a
forbid,permit,v
forceful,forceless,a
forceless,forceful,a
fore,aft,a
fore,aft,r
foreground,background,v
forehand,backhand,a
foreign,domestic,a
foreign,native,a
foreignness,nativeness,n
forfeit,claim,v
forget,mind,v
forget,remember,v
forgettable,unforgettable,a
forgivably,unforgivably,r
forgiving,unforgiving,a
forgivingly,unforgivingly,r
formal,informal,a
formalism,imitation,n
formality,informality,n
formally,informally,r
formed,unformed,a
former,latter,a
former,latter,n
forte,piano,a
forte,piano,r
fortissimo,pianissimo,r
fortunate,unfortunate,a
fortunately,unfortunately,r
forward,backward,a
forward,backward,r
forward,reverse,a
fossorial,cursorial,a
foul,fair,a
foul_ball,fair_ball,n
found,lost,a
fractional,whole,a
fragrant,malodorous,a
frail,robust,a
framed,unframed,a
fraternal,identical,a
free,bound,a
free,confine,v
free,obstruct,v
free,unfree,a
free_state,slave_state,n
freelance,salaried,a
freeze,boil,v
freeze,unfreeze,v
frequent,infrequent,a
frequently,infrequently,r
fresh,preserved,a
fresh,salty,a
fresh,stale,a
fresh_water,saltwater,n
freshness,staleness,n
fretted,unfretted,a
friend,foe,n
friendliness,unfriendliness,n
friendly,hostile,a
friendly,hostile,n
friendly,unfriendly,a
frivolity,seriousness,n
frivolous,serious,a
front,back,a
front,back,n
front,back,v
front,rear,n
front_burner,back_burner,n
frozen,unfrozen,a
fruitful,unfruitful,a
fruitfully,fruitlessly,r
fruitfulness,fruitlessness,n
fruitlessly,fruitfully,r
fruitlessness,fruitfulness,n
fueled,unfueled,a
full,empty,a
full,thin,a
full-term,premature,a
full-time,half-time,r
full-time,part-time,a
fullness,emptiness,n
function,malfunction,v
functional,nonfunctional,a
functional,organic,a
functional_disorder,organic_disorder,n
functioning,malfunctioning,a
funded,unfunded,a
furnished,unfurnished,a
furrowed,unfurrowed,a
fuse,defuse,v
future,past,a
future,past,n
future,present,a
futurity,pastness,n
futurity,presentness,n
gabled,hipped,a
gain,fall_back,v
gain,loss,n
gain,reduce,v
gaseous,liquid,a
gaseous,solid,a
gather,spread,v
gathered,ungathered,a
geared,ungeared,a
general,local,a
general,particular,n
general,specific,a
general,specific,n
general_agent,special_agent,n
general_verdict,special_verdict,n
generalist,specialist,n
generality,particularity,n
generalize,specify,v
generally,specifically,r
generative,consumptive,a
generic,varietal,n
generic_drug,brand-name_drug,n
generic_wine,varietal_wine,n
generosity,stinginess,n
generous,stingy,a
generous,ungenerous,a
genuine,counterfeit,a
genuineness,spuriousness,n
geocentric,heliocentric,a
geographic,magnetic,a
geometrically,linearly,r
germfree,germy,a
germy,germfree,a
get_off,get_on,v
get_on,get_off,v
get_up,go_to_bed,v
get_well,get_worse,v
get_worse,get_well,v
girl,boy,n
give,take,v
glad,sad,a
gladden,sadden,v
glazed,unglazed,a
glorious,inglorious,a
gloved,gloveless,a
gloveless,gloved,a
gluttonous,abstemious,a
glycerolize,deglycerolize,v
gnostic,agnostic,a
go,come,v
go,no-go,a
go_off,go_on,v
go_on,go_off,v
go_out,come_in,v
go_to_bed,get_up,v
godliness,ungodliness,n
good,bad,a
good,bad,n
good,evil,a
good,evil,n
good-natured,ill-natured,a
good_egg,bad_egg,n
good_fortune,misfortune,n
good_guy,bad_guy,n
good_health,ill_health,n
